"Set1_Freq[Hz]";"Set1_Level[dBuV]";"Set2_Freq[Hz]";"Set2_Level[dBuV]";"Raw1_Freq[Hz]";"Raw1_Level[dBuV]";"Raw2_Freq[Hz]";"Raw2_Level[dBuV]";"Set1_Peaks_Nb";"Set1_Peaks_Det";"Set1_Peaks_Freq[kHz]";"Set1_Peaks_Level[dBuV]";"Set1_Peaks_Lim[dBuV]";"Set1_Remeasure_Nb";"Set1_Remeasure_Det";"Set1_Remeasure_Freq[kHz]";"Set1_Remeasure_Level[dBuV]";"Set1_Remeasure_Lim[dBuV]";"Set2_Peaks_Nb";"Set2_Peaks_Det";"Set2_Peaks_Freq[kHz]";"Set2_Peaks_Level[dBuV]";"Set2_Peaks_Lim[dBuV]";"Set2_Remeasure_Nb";"Set2_Remeasure_Det";"Set2_Remeasure_Freq[kHz]";"Set2_Remeasure_Level[dBuV]";"Set2_Remeasure_Lim[dBuV]"
"250267";"30,79";"250267";"22,97";"250267";"21,20";"250267";"13,38";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"253400";"30,63";"253400";"23,40";"253400";"21,05";"253400";"13,82";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"256533";"30,26";"256533";"23,96";"256533";"20,69";"256533";"14,39";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"259667";"29,98";"259667";"23,34";"259667";"20,42";"259667";"13,78";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"262800";"29,96";"262800";"23,18";"262800";"20,41";"262800";"13,63";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"265933";"29,86";"265933";"23,55";"265933";"20,31";"265933";"14,01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"269067";"29,84";"269067";"22,79";"269067";"20,30";"269067";"13,26";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"272200";"29,68";"272200";"23,14";"272200";"20,15";"272200";"13,61";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"275333";"29,33";"275333";"23,33";"275333";"19,81";"275333";"13,81";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"278467";"29,23";"278467";"23,10";"278467";"19,71";"278467";"13,59";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"281600";"28,86";"281600";"21,81";"281600";"19,35";"281600";"12,30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"284733";"28,83";"284733";"21,70";"284733";"19,33";"284733";"12,20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"287867";"28,61";"287867";"22,54";"287867";"19,12";"287867";"13,05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"291000";"29,60";"291000";"23,87";"291000";"20,11";"291000";"14,38";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"294133";"35,13";"294133";"33,46";"294133";"25,65";"294133";"23,98";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"297267";"39,96";"297267";"39,08";"297267";"30,49";"297267";"29,61";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"300400";"40,73";"300400";"39,20";"300400";"31,26";"300400";"29,73";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"303533";"40,73";"303533";"33,91";"303533";"31,26";"303533";"24,44";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"306667";"37,22";"306667";"25,22";"306667";"27,75";"306667";"15,76";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
